Table A - DAMAGE_TYPE_INT,Table B - Slayer/Creature Type,TABLE M - ALL SKILLS,Table U - TOLERANCE_INT,Table W - DEFAULT_COMBAT_STYLE_INT,Table AD - TRANSFER_FROM/TO_ATTRIBUTE_INT,Table AR - Death Treasure (Uniques),Table AN - RESISTANCE_MODIFIER_TYPE_INT,Table AM - HOOK_TYPE_INT,Table AI - ICON_UNDERLAY_DID,Table AC - HERITAGE_GROUP_INT,Table Z - BOOSTER_ENUM_INT,Table E - WEAPON_TYPE_INT,Table I - IMBUED_EFFECT_INT,Table  J - WIELD_REQUIREMENTS_INT,Table K - Attributes,Table K - Attributes,Table L - Vitals,Table O - Armor Type,Table P - AMMO_TYPE_INT,Table C - ACTIVATION_RESPONSE_INT,Table AF: MATERIAL_TYPE_INT,Table AA - RADARBLIP_COLOR_INT,Table Y - LOCKPICK_MOD_INT,Table G - COMBAT_USE_INT,Table H - UI_EFFECTS_INT,Table F - ATTACK_TYPE_INT,TABLE AQ - FRIEND_TYPE_INT,Table AL - PLAYER_KILLER_STATUS_INT,Table AK - COMBAT_MODE_INT,Table N - ITEM_TYPE_INT,Table T - BONDED_INT,Table AB - PORTAL_BITMASK_INT,Table AG - SHOWABLE_ON_RADAR_INT,Table AH - SKILL_ADVANCEMENT_CLASS,Table AJ - CURRENT_ATTACK_HEIGHT_INT,Table AP - HOOK_GROUP_INT,Table V  - TARGETING_TACTIC_INT,Table Q - ITEM_USEABLE_INT,Table S - LOCATIONS_INT,Table R - CLOTHING_PRIORITY_INT,,Table AO - CHARACTER_TITLE_ID_INT,,Table AE - EQUIPMENT_SET_ID_INT,PALETTE_ENTRY_INT Lookup Table,,,,All hex enums are converted to decimal (Weenie type),,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523,ID_CharacterTitle_Prodigal_Harbinger_Slayer,Prodigal Harbinger Slayer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524,ID_CharacterTitle_Blood_Seeker,Blood Seeker,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525,ID_CharacterTitle_Storm_Rider,Storm Rider,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526,ID_CharacterTitle_Meddler,Meddler,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527,ID_CharacterTitle_Vile_Betrayer,Vile Betrayer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528,ID_CharacterTitle_Spy,Spy,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529,ID_CharacterTitle_Slithis_Slayer,Slithis Slayer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530,ID_CharacterTitle_Chosen_of_the_Rift,Chosen of the Rift,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,531,ID_CharacterTitle_Rift_Shifter,Rift Shifter,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532,ID_CharacterTitle_Rift_Walker,Rift Walker,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533,ID_CharacterTitle_Reef_Builder,Reef Builder,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534,ID_CharacterTitle_Reef_Breaker,Reef Breaker,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535,ID_CharacterTitle_Crypt_Rat,Crypt Rat,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536,ID_CharacterTitle_Grave_Stalker,Grave Stalker,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,537,ID_CharacterTitle_Bone_Breaker,Bone Breaker,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538,ID_CharacterTitle_Crypt_Creeper,Crypt Creeper,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539,ID_CharacterTitle_Tomb_Raider,Tomb Raider,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540,ID_CharacterTitle_Follower_of_the_Vine,Follower of the Vine,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541,ID_CharacterTitle_Harvester,Harvester,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542,ID_CharacterTitle_Harvester_Harvester,Harvester Harvester,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543,ID_CharacterTitle_Harvester_Harvester_Harvester,Harvester Harvester Harvester,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544,ID_CharacterTitle_Pumpkin_Throne_Usurper,Pumpkin Throne Usurper,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545,ID_CharacterTitle_Death_Knight,Death Knight,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,546,ID_CharacterTitle_NullTitle,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547,ID_CharacterTitle_Tracker_Guardian,Tracker Guardian,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548,ID_CharacterTitle_Dojiro_Sangis_Savior,Dojiro Sangi's Savior,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549,ID_CharacterTitle_Master_of_the_Hunt,Master of the Hunt,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,ID_CharacterTitle_Initiate_of_the_Hunt,Initiate of the Hunt,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,551,ID_CharacterTitle_Apprentice_of_the_Hunt,Apprentice of the Hunt,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552,ID_CharacterTitle_Disciple_of_the_Hunt,Disciple of the Hunt,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,553,ID_CharacterTitle_Seeker_of_the_Hunt,Seeker of the Hunt,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554,ID_CharacterTitle_Champion_of_the_Hunt,Champion of the Hunt,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555,ID_CharacterTitle_Guardian_of_Linvak_Tukal,Guardian of Linvak Tukal,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556,ID_CharacterTitle_Unwitting_Participant,Unwitting Participant,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557,ID_CharacterTitle_Friend_of_Rheaga,Friend of Rheaga,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558,ID_CharacterTitle_Slayer_of_Rheaga,Slayer of Rheaga,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559,ID_CharacterTitle_Protector_of_the_Past,Protector of the Past,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560,ID_CharacterTitle_Warrior_of_the_Past,Warrior of the Past,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561,ID_CharacterTitle_Anthropologist,Anthropologist,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562,ID_CharacterTitle_Gold_Farmer,Gold Farmer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563,ID_CharacterTitle_Third_Eye_Blinder,Third Eye Blinder,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564,ID_CharacterTitle_Dire_Drudge_Decapitator,Dire Drudge Decapitator,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565,ID_CharacterTitle_Renegade_Hunter,Renegade Hunter,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,566,ID_CharacterTitle_Banderling_Bully,Banderling Bully,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567,ID_CharacterTitle_Xenophobic,Xenophobic,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568,ID_CharacterTitle_Shadow_Sunderer,Shadow Sunderer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569,ID_CharacterTitle_Dire_Huntsman,Dire Huntsman,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570,ID_CharacterTitle_Game_Warden,Game Warden,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571,ID_CharacterTitle_Honorary_Rea_of_the_Aun,Honorary Rea of the Aun,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572,ID_CharacterTitle_Hope_of_the_Past,Hope of the Past,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573,ID_CharacterTitle_Beacon_of_Hope,Beacon of Hope,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574,ID_CharacterTitle_Aerbaxs_Bane,Aerbax's Bane,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575,ID_CharacterTitle_Aerbax_Slayer,Aerbax Slayer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576,ID_CharacterTitle_Jesters_Emancipator,Jester's Emancipator,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577,ID_CharacterTitle_Jesters_Fool,Jester's Fool,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578,ID_CharacterTitle_Jesters_Accomplice,Jester's Accomplice,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579,ID_CharacterTitle_Honorary_Burun_Scout,Honorary Burun Scout,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580,ID_CharacterTitle_Marble_Wrangler,Marble Wrangler,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581,ID_CharacterTitle_Secret_Keeper,Secret Keeper,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582,ID_CharacterTitle_Jesters_Little_Helper,Jester's Little Helper,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,583,ID_CharacterTitle_Hard_To_Kill,Hard to Kill,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584,ID_CharacterTitle_Expendable,Expendable,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585,ID_CharacterTitle_Novice_of_the_Sea,Novice of the Sea,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586,ID_CharacterTitle_Acolyte_of_the_Sea,Acolyte of the Sea,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,587,ID_CharacterTitle_Minister_of_the_Sea,Minister of the Sea,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588,ID_CharacterTitle_Defender_of_the_Sea,Defender of the Sea,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589,ID_CharacterTitle_Champion_of_the_Sea,Champion of the Sea,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590,ID_CharacterTitle_Master_of_the_Sea,Master of the Sea,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,591,ID_CharacterTitle_DefeaterOfTheBlight,Defeater of the Blight,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592,ID_CharacterTitle_Champion_of_the_Aerlinthe_Node,Champion of the Aerlinthe Node,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,593,ID_CharacterTitle_Champion_of_the_Amun_Node,Champion of the A'mun Node,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,ID_CharacterTitle_Champion_of_the_Esper_Node,Champion of the Esper Node,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595,ID_CharacterTitle_Champion_of_the_Halaetan_Node,Champion of the Halaetan Node,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596,ID_CharacterTitle_Champion_of_the_Linvak_Node,Champion of the Linvak Node,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597,ID_CharacterTitle_Champion_of_the_Obsidian_Node,Champion of the Obsidian Node,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599,ID_CharacterTitle_Ulgrims_Happy_Hundredth,Ulgrim's Happy Hundredth,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,ID_CharacterTitle_Plucker_of_Eyes,Plucker of Eyes,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601,ID_CharacterTitle_Warden_of_the_Burning_Wood,Warden of the Burning Wood,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602,ID_CharacterTitle_Tough_Tough,Tough Tough,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603,ID_CharacterTitle_Archaeologist,Archaeologist,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604,ID_CharacterTitle_Hero_of_Woe,Hero of Woe,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,605,ID_CharacterTitle_Defender_of_Silyun,Defender of Silyun,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,606,ID_CharacterTitle_Memorial_Champion,Memorial Champion,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,607,ID_CharacterTitle_Thane_of_Colier,Thane of Colier,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608,ID_CharacterTitle_Guardian_of_the_Keep,Guardian of the Keep,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609,ID_CharacterTitle_Warrior_of_the_Crater_Lake,Warrior of the Crater Lake,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,611,ID_CharacterTitle_Arwician,Arwician,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,612,ID_CharacterTitle_Desert_Warrior,Desert Warrior,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,613,ID_CharacterTitle_Mayoi_Protector,Mayoi Protector,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,614,ID_CharacterTitle_Stone_Collector,Stone Collector,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615,ID_CharacterTitle_Rock_Star,Rock Star,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616,ID_CharacterTitle_Rock_Hound,Rock Hound,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,617,ID_CharacterTitle_Warrior_of_Woe,Warrior of Woe,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618,ID_CharacterTitle_Has_way_too_much_time,Has way too much time,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,619,ID_CharacterTitle_Champion_Immemorial,Champion Immemorial,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620,ID_CharacterTitle_Colier_Miner,Colier Miner,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621,ID_CharacterTitle_Legionnaire,Legionnaire,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,622,ID_CharacterTitle_Volcanologist,Volcanologist,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,623,ID_CharacterTitle_Hilltop_Defender,Hilltop Defender,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624,ID_CharacterTitle_Arwic_Noble,Arwic Noble,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625,ID_CharacterTitle_Zharalim,Zharalim,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626,ID_CharacterTitle_Samurai,Samurai,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,627,ID_CharacterTitle_Guardian_in_the_Patriarch_Raids,Guardian in the Patriarch Raids,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628,ID_CharacterTitle_Warden_in_the_Patriarch_Raids,Warden in the Patriarch Raids,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,629,ID_CharacterTitle_Hero_of_the_Patriarch_Raids,Hero of the Patriarch Raids,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630,ID_CharacterTitle_Marked_by_the_Patriarchs,Marked by the Patriarchs,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637,ID_CharacterTitle_Cathedrals_Champion,Cathedrals Champion,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638,ID_CharacterTitle_Asherons_Militia,Asheron's Militia,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,639,ID_CharacterTitle_Minik_Ras_Bane,Minik Ra's Bane,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640,ID_CharacterTitle_Kazyk_Ris_Bane,Kazyk Ri's Bane,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,641,ID_CharacterTitle_Nivinizks_Bane,Nivinizk's Bane,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,642,ID_CharacterTitle_Minik_Ras_Nemesis,Minik Ra's Nemesis,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,643,ID_CharacterTitle_Kazyk_Ris_Nemesis,Kazyk Ri's Nemesis,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644,ID_CharacterTitle_Nivinizks_Nemesis,Nivinizk's Nemesis,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,645,ID_CharacterTitle_Aubereans_Sentinel,Auberean's Sentinel,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646,ID_CharacterTitle_Dereths_Elite,Dereth's Elite,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,647,ID_CharacterTitle_Defender_of_the_Deru,Defender of the Deru,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,648,ID_CharacterTitle_Bane_of_the_Blessed,Bane of the Blessed,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,649,ID_CharacterTitle_Negotiator,Negotiator,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,ID_CharacterTitle_Bane_of_the_Blight,Bane of the Blight,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,651,ID_CharacterTitle_Gifted,Gifted,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,652,ID_CharacterTitle_Seasonal_Seeker,Seasonal Seeker,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653,ID_CharacterTitle_Amateur_Explorer,Amateur Explorer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,654,ID_CharacterTitle_Experienced_Explorer,Experienced Explorer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,655,ID_CharacterTitle_Adept_Explorer,Adept Explorer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656,ID_CharacterTitle_Master_Explorer,Master Explorer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,657,ID_CharacterTitle_Elite_Explorer,Elite Explorer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,658,ID_CharacterTitle_Mountain_Climber,Mountain Climber,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,659,ID_CharacterTitle_Daredevil,Daredevil,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660,ID_CharacterTitle_Sky_Diver,Sky Diver,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,661,ID_CharacterTitle_Spelunker,Spelunker,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,662,ID_CharacterTitle_Party_Goer,Party-Goer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,663,ID_CharacterTitle_Crater_Crasher,Crater Crasher,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,664,ID_CharacterTitle_Tactical_Aid,Tactical Aid,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,665,ID_CharacterTitle_True_Tactician,True Tactician,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666,ID_CharacterTitle_Tactical_Fantastical,Tactical Fantastical,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667,ID_CharacterTitle_Fire_of_the_Tanada,Fire of the Tanada,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,668,ID_CharacterTitle_Crystalline_Adventurer,Crystalline Adventurer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,669,ID_CharacterTitle_Wisp_Whipper,Wisp Whipper,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,670,ID_CharacterTitle_Burning_Soul,Burning Soul,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,671,ID_CharacterTitle_Frozen_Fighter,Frozen Fighter,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672,ID_CharacterTitle_Dedicated,Dedicated,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,673,ID_CharacterTitle_Assassin,Assassin,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674,ID_CharacterTitle_Death_Dealer,Death Dealer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675,ID_CharacterTitle_Bridge_Jumper,Bridge Jumper,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,676,ID_CharacterTitle_Sure_Step,Sure Step,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,677,ID_CharacterTitle_Player_Slayer,Player Slayer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,678,ID_CharacterTitle_Bathed_in_Blood,Bathed in Blood,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679,ID_CharacterTitle_I_Am_Darktide,I Am Darktide,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680,ID_CharacterTitle_Darkness_in_the_Light,Darkness in the Light,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681,ID_CharacterTitle_Beginnings_End,Beginning's End,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,682,ID_CharacterTitle_Nexus_Crawler,Nexus Crawler,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,683,ID_CharacterTitle_Selfless_Soul,Selfless Soul,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,684,ID_CharacterTitle_Timeless_Adventurer,Timeless Adventurer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685,ID_CharacterTitle_Virindi_Informer,Virindi Informer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,686,ID_CharacterTitle_No_Cage_Could_Hold_Me,No Cage Can Hold Me,,,,,,,,,,
